exercise_id,input_dataset_id,alias,dataset
1,1,studentInfo.txt,"S1, John Doe
S2, Malcolm Doyle
S3, Peter Collins
S4, Mark Jones"
2,2,input,"S1,90,87,76
S2,70,68,52
S3,48,92,70
S4,92,88,98
,72,62,58"
3,3,input,"S1,90,87,76
S2,70,68,52
S3,48,92,70
S4,92,88,98
,72,62,58"
4,4,input,"S1;Fall-2012;(90,80,70)
S2;Fall-2012;(75,80,70)
S1;Spring-2013;(80,92,60)
S2;Fall-2013;(69,58,57)"
5,5,input,"1;{(1,55),(2,90),(3,95)}
2;{(1,60),(2,70),(3,80)}
3;{(1,40),(2,50),(3,60)}"
6,6,input,"S1,Fall-2012,123
S2,Spring-2013,123
S1,Spring-2011,213
S2,Fall-2012,123
S3,Spring-2011,213
S3,Fall-2012,123"
7,7,input,"S1;Fall-2012;(90,80,70)
S2;Fall-2012;(75,80,70)
S1;Spring-2013;(80,92,60)
S2;Fall-2013;(69,58,57)"
8,8,input,"1;{(1,55),(2,90),(3,95)}
2;{(1,60),(2,70),(3,80)}
3;{(1,40),(2,50),(3,60)}"
9,9,courses,"CSC 107,Programming Fundamentals
MAT 186, Linear Algebra
CSC 243,Introduction to Databases
ECE 212,Circuit Analysis
(MAT 196,Calculus I
APS 111,Engineering Communication"
9,10,marks,"S1,CSC 243, 87
S2,APS 111, 82
S1,MAT 186, 90
S2,ECE 212, 72
S1,APS 252, 77
S3,PSY 101, 71"
10,11,courses,"CSC 107,Programming Fundamentals
MAT 186, Linear Algebra
CSC 243,Introduction to Databases
ECE 212,Circuit Analysis
MAT 196,Calculus I
APS 111,Engineering Communication"
10,12,marks,"S1,CSC 243, 87
S2,APS 111, 82
S1,MAT 186, 90
S2,ECE 212, 72
S1,APS 252, 77
S3,PSY 101, 71"
11,13,courses,"CSC 107,Programming Fundamentals
MAT 186, Linear Algebra
CSC 243,Introduction to Databases
ECE 212,Circuit Analysis
MAT 196,Calculus I
APS 111,Engineering Communication"
11,14,marks,"S1,CSC 243, 87
S2,APS 111, 82
S1,MAT 186, 90
S2,ECE 212, 72
S1,APS 252, 77
S3,PSY 101, 71"
12,15,courses,"CSC 107,Programming Fundamentals
MAT 186, Linear Algebra
CSC 243,Introduction to Databases
ECE 212,Circuit Analysis
MAT 196,Calculus I
APS 111,Engineering Communication"
12,16,marks,"S1,CSC 243, 87
S2,APS 111, 82
S1,MAT 186, 90
S2,ECE 212, 72
S1,APS 252, 77
S3,PSY 101, 71"
13,17,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
14,18,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
15,19,marks,"S1, 72, 90, 67
S2, 82, 71,76
S3, 96, 54, 79
S4, 71, 62, 90
S5, 57, 85, 81
S6, 94, 68, 89"
16,20,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
17,21,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
18,22,studentMarks,"1,1,1,60
1,1,2,80
1,1,3,70
2,2,1,80
2,2,2,90
2,2,3,70"
18,23,courses,"1,1,Scott
2,2,Mark"
19,24,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70"
20,25,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
21,26,marks,"S1,CSC 103, 92
S2,ECE 445, 67
S1,HPS 162, 78
S3,PSY 101, 70
S2,CSC 103, 92
S1,APS 105, 72
S2,PSY 101, 80
S3,HPS 162, 78
S3,CSC 103, 68"
22,27,students1,"S1, 92
S2, 67
S1, 78
S3, 70"
22,28,students2,"S2, 72
S2, 80
S3, 78
S3, 68"
23,29,students1,"S1, 92
S2, 67
S1, 78
S3, 70"
23,30,students2,"72,S2
80,S2
78,S3
68,S3"
24,31,students,"S1, 32
S2, 70
S1, 49
S3, 60
S2, 83
S2, 47
S3, 78
S3, 50"
